,Name,Type,Family,Direction,Baseline,Case,White Space,ISO 15924 Code,Status,Diacritics,Contextual Forms,Complex Positioning,Reordering,Split Graphs,Ligatures,OpenType Tag,Unicode Range
104,Tibetan,abugida,Central Asian,LTR,hanging,no,none,Tibt / 330 (alphasyllabic),Current,yes,yes,yes,[unknown],[unknown],required,tibt,0F00..0FFF
105,Garay (Wolof),alphabet,African,RTL,bottom,no,between words,[none],Current,[unknown],yes,[unknown],[unknown],[unknown],[unspecified],[none],N/A
106,Mongolian,alphabet,Central Asian,vertical (LTR),vertical,no,between words,Mong / 145 (right-to-left alphabetic),Current,yes,yes,[unknown],[unknown],[unknown],[unspecified],mong,1800..18AF
107,Tifinagh (Berber),abjad,African,[unspecified],bottom,no,between words,Tfng / 120 (right-to-left alphabetic),Current,yes,yes,no,no,no,optional,tfng,0300..036F
108,Georgian (Mkhedruli and Mtavruli),alphabet,European,LTR,bottom,no,between words,Geor / 240 (left-to-right alphabetic),Current,no,no,[unknown],[unknown],[unknown],optional,geor,0024
109,"Moon (Moon code, Moon script, Moon type)",alphabet,Artificial,LTR,bottom,no,[unspecified],Moon / 218 (left-to-right alphabetic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
110,Tigalari,abugida,Indic,LTR,hanging,no,[unspecified],[none],Current,yes,[unknown],[unknown],yes,yes,none,[none],N/A
111,Grantha,abugida,Indic,LTR,hanging,no,between words,Gran / 343 (alphasyllabic),Current,yes,yes,[unknown],[unknown],[unknown],required,gran,11300..1137F
112,"Mro, Mru",alphabet,Indic,LTR,bottom,no,between words,Mroo / 264 (left-to-right alphabetic),Current,no,no,[unknown],[unknown],[unknown],none,mroo,16A40..16A6F
113,Tikamuli,abugida,Indic,LTR,bottom,no,[unspecified],[none],Current,yes,[unknown],yes,no,[unknown],none,[none],N/A
114,Greek,alphabet,European,LTR,bottom,yes,between words,Grek / 200 (left-to-right alphabetic),Current,yes,yes,no,[unknown],[unknown],optional,grek,0300..036F
115,Mwangwego,abugida,African,LTR,bottom,no,between words,[none],Current,yes,no,no,no,no,[unspecified],[none],N/A
116,Tirhuta,abugida,Indic,LTR,hanging,no,between words,Tirh / 326 (alphasyllabic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],tirh,11480..114DF
117,Gujarati,abugida,Indic,LTR,hanging,no,between words,Gujr / 320 (alphasyllabic),Current,yes,yes,[unknown],yes,yes,required,"gujr, gjr2",0024
118,Myanmar (Burmese),abugida,Mainland Southeast Asian,LTR,bottom,no,between phrases,Mymr / 350 (alphasyllabic),Current,yes,yes,yes,yes,yes,required,"mymr, mym2",0024
119,Toto,alphabet,Indic,LTR,bottom,no,between words,Toto / 294 (left-to-right alphabetic),Current,yes,no,yes,yes,no,none,toto,1E290..1E2BF
120,Gunjala Gondi,abugida,Indic,LTR,hanging,no,between words,Gong / 328 (alphasyllabic),Current,yes,no,yes,no,no,required,gong,11D60..11DAF
121,Nag Mundari,alphabet,Indic,LTR,bottom,no,between words,Nagm / 295 (left-to-right alphabetic),Current,yes,[unknown],[unknown],no,no,none,[none],N/A
122,Unified Canadian Aboriginal Syllabics,abugida,American,LTR,bottom,no,between words,Cans / 440 (syllabic),Current,yes,no,no,[unknown],no,none,cans,1400..167F
